"","org","category","type","expense name","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventtotal","eventsplanned","actual","attendactual","eventsactual","externalreceived","totalrollover","date","amount"
"11","Anticaste Policy Students Forum","speaker","refreshments","Understanding Caste-Based Labor Economy: India and the Diaspora","The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",740,4,1332,NA,4,0,-26,NA,540
"12","Anticaste Policy Students Forum","speaker","supplies","Understanding Caste-Based Labor Economy: India and the Diaspora","The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",740,4,1332,NA,4,0,-26,NA,40
"13","Anticaste Policy Students Forum","speaker","equipment","Understanding Caste-Based Labor Economy: India and the Diaspora","The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",740,4,1332,NA,4,0,-26,NA,NA
"14","Anticaste Policy Students Forum","speaker","services","Understanding Caste-Based Labor Economy: India and the Diaspora","The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",740,4,1332,NA,4,0,-26,NA,150
"15","Anticaste Policy Students Forum","speaker","miscellaneous","Understanding Caste-Based Labor Economy: India and the Diaspora","The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",740,4,1332,NA,4,0,-26,NA,10
"16","Anticaste Policy Students Forum","speaker","refreshments","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy","This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,450
"17","Anticaste Policy Students Forum","speaker","supplies","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy","This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,40
"18","Anticaste Policy Students Forum","speaker","equipment","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy","This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,150
"19","Anticaste Policy Students Forum","speaker","services","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy","This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,NA
"20","Anticaste Policy Students Forum","speaker","miscellaneous","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy","This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,10
"21","Anticaste Policy Students Forum","film screening","refreshments","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice","The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",1000,4,1332,NA,4,0,-26,NA,450
"22","Anticaste Policy Students Forum","film screening","supplies","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice","The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",1000,4,1332,NA,4,0,-26,NA,40
"23","Anticaste Policy Students Forum","film screening","equipment","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice","The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",1000,4,1332,NA,4,0,-26,NA,NA
"24","Anticaste Policy Students Forum","film screening","services","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice","The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",1000,4,1332,NA,4,0,-26,NA,500
"25","Anticaste Policy Students Forum","film screening","miscellaneous","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice","The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",1000,4,1332,NA,4,0,-26,NA,10
"26","ALAS","community engagement","refreshments","National Mexican Museum of Art/Pilsen Outing","Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",500,3,3340,NA,5,0,82,NA,500
"27","ALAS","community engagement","supplies","National Mexican Museum of Art/Pilsen Outing","Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",500,3,3340,NA,5,0,82,NA,NA
"28","ALAS","community engagement","equipment","National Mexican Museum of Art/Pilsen Outing","Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",500,3,3340,NA,5,0,82,NA,NA
"29","ALAS","community engagement","services","National Mexican Museum of Art/Pilsen Outing","Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",500,3,3340,NA,5,0,82,NA,NA
"30","ALAS","community engagement","miscellaneous","National Mexican Museum of Art/Pilsen Outing","Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",500,3,3340,NA,5,0,82,NA,NA
"31","ALAS","speaker","refreshments","Chicago Food Justice/Policy","Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",500,3,3340,NA,5,0,82,NA,500
"32","ALAS","speaker","supplies","Chicago Food Justice/Policy","Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",500,3,3340,NA,5,0,82,NA,NA
"33","ALAS","speaker","equipment","Chicago Food Justice/Policy","Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",500,3,3340,NA,5,0,82,NA,NA
"34","ALAS","speaker","services","Chicago Food Justice/Policy","Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",500,3,3340,NA,5,0,82,NA,NA
"35","ALAS","speaker","miscellaneous","Chicago Food Justice/Policy","Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",500,3,3340,NA,5,0,82,NA,NA
"36","ALAS","cultural","refreshments","Latine Graduation Celebration","Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",800,3,3340,NA,5,0,82,NA,500
"37","ALAS","cultural","supplies","Latine Graduation Celebration","Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",800,3,3340,NA,5,0,82,NA,NA
"38","ALAS","cultural","equipment","Latine Graduation Celebration","Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",800,3,3340,NA,5,0,82,NA,NA
"39","ALAS","cultural","services","Latine Graduation Celebration","Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",800,3,3340,NA,5,0,82,NA,300
"40","ALAS","cultural","miscellaneous","Latine Graduation Celebration","Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",800,3,3340,NA,5,0,82,NA,NA
"41","Asian Policy Forum","speaker","refreshments","Restoring American Supply Chains: A Conversation with Thomas Day","Join us for an engaging discussion with Thomas Day, a leading expert on American supply chain resilience and national security. As geopolitical tensions with China intensify—marked by escalating tariffs, trade disputes, and a renewed emphasis on domestic manufacturing—the importance of securing and revitalizing American supply chains has never been more critical. Thomas will delve into the national security implications of foreign supply chain dependencies and discuss strategies for restoring American manufacturing capabilities. This conversation is particularly relevant for those interested in global trade, economic security, and industrial policy.",70,"FALSE","Yes, in partnership with the Rural American Caucus, given the topic's direct relevance to rural communities and their economies.
","FALSE","YES (Not woman, POC, and People with Disability)
",910,3,12992,NA,8,1200,3310,NA,880
"42","Asian Policy Forum","speaker","supplies","Restoring American Supply Chains: A Conversation with Thomas Day","Join us for an engaging discussion with Thomas Day, a leading expert on American supply chain resilience and national security. As geopolitical tensions with China intensify—marked by escalating tariffs, trade disputes, and a renewed emphasis on domestic manufacturing—the importance of securing and revitalizing American supply chains has never been more critical. Thomas will delve into the national security implications of foreign supply chain dependencies and discuss strategies for restoring American manufacturing capabilities. This conversation is particularly relevant for those interested in global trade, economic security, and industrial policy.",70,"FALSE","Yes, in partnership with the Rural American Caucus, given the topic's direct relevance to rural communities and their economies.
","FALSE","YES (Not woman, POC, and People with Disability)
",910,3,12992,NA,8,1200,3310,NA,30
"43","Asian Policy Forum","speaker","equipment","Restoring American Supply Chains: A Conversation with Thomas Day","Join us for an engaging discussion with Thomas Day, a leading expert on American supply chain resilience and national security. As geopolitical tensions with China intensify—marked by escalating tariffs, trade disputes, and a renewed emphasis on domestic manufacturing—the importance of securing and revitalizing American supply chains has never been more critical. Thomas will delve into the national security implications of foreign supply chain dependencies and discuss strategies for restoring American manufacturing capabilities. This conversation is particularly relevant for those interested in global trade, economic security, and industrial policy.",70,"FALSE","Yes, in partnership with the Rural American Caucus, given the topic's direct relevance to rural communities and their economies.
","FALSE","YES (Not woman, POC, and People with Disability)
",910,3,12992,NA,8,1200,3310,NA,NA
"44","Asian Policy Forum","speaker","services","Restoring American Supply Chains: A Conversation with Thomas Day","Join us for an engaging discussion with Thomas Day, a leading expert on American supply chain resilience and national security. As geopolitical tensions with China intensify—marked by escalating tariffs, trade disputes, and a renewed emphasis on domestic manufacturing—the importance of securing and revitalizing American supply chains has never been more critical. Thomas will delve into the national security implications of foreign supply chain dependencies and discuss strategies for restoring American manufacturing capabilities. This conversation is particularly relevant for those interested in global trade, economic security, and industrial policy.",70,"FALSE","Yes, in partnership with the Rural American Caucus, given the topic's direct relevance to rural communities and their economies.
","FALSE","YES (Not woman, POC, and People with Disability)
",910,3,12992,NA,8,1200,3310,NA,NA
"45","Asian Policy Forum","speaker","miscellaneous","Restoring American Supply Chains: A Conversation with Thomas Day","Join us for an engaging discussion with Thomas Day, a leading expert on American supply chain resilience and national security. As geopolitical tensions with China intensify—marked by escalating tariffs, trade disputes, and a renewed emphasis on domestic manufacturing—the importance of securing and revitalizing American supply chains has never been more critical. Thomas will delve into the national security implications of foreign supply chain dependencies and discuss strategies for restoring American manufacturing capabilities. This conversation is particularly relevant for those interested in global trade, economic security, and industrial policy.",70,"FALSE","Yes, in partnership with the Rural American Caucus, given the topic's direct relevance to rural communities and their economies.
","FALSE","YES (Not woman, POC, and People with Disability)
",910,3,12992,NA,8,1200,3310,NA,NA
"46","Asian Policy Forum","speaker","refreshments","U.S. Decoupling Energy from China: A Policy Conversation with Samir Mayekar","As the U.S. faces growing calls to reduce its reliance on Chinese-controlled energy technologies—ranging from solar panels to critical minerals and battery components—this event asks a fundamental question: Should the U.S. pursue energy decoupling? Join Samir Mayekar, former Deputy Mayor of Chicago and a leader at the intersection of public policy and private infrastructure, as he offers a top-down analysis of the risks, tradeoffs, and unintended consequences of energy decoupling. With global climate goals, domestic industrial policy, and national security all on the line, Mayekar will unpack what a strategic energy future might look like—and whether decoupling is part of it.",40,"FALSE","TRUE - Harris Energy and Environmental Association","FALSE","TRUE (Samir Mayekar: Woman and POC)",910,3,12992,NA,8,1200,3310,NA,880
"47","Asian Policy Forum","speaker","supplies","U.S. Decoupling Energy from China: A Policy Conversation with Samir Mayekar","As the U.S. faces growing calls to reduce its reliance on Chinese-controlled energy technologies—ranging from solar panels to critical minerals and battery components—this event asks a fundamental question: Should the U.S. pursue energy decoupling? Join Samir Mayekar, former Deputy Mayor of Chicago and a leader at the intersection of public policy and private infrastructure, as he offers a top-down analysis of the risks, tradeoffs, and unintended consequences of energy decoupling. With global climate goals, domestic industrial policy, and national security all on the line, Mayekar will unpack what a strategic energy future might look like—and whether decoupling is part of it.",40,"FALSE","TRUE - Harris Energy and Environmental Association","FALSE","TRUE (Samir Mayekar: Woman and POC)",910,3,12992,NA,8,1200,3310,NA,30
"48","Asian Policy Forum","speaker","equipment","U.S. Decoupling Energy from China: A Policy Conversation with Samir Mayekar","As the U.S. faces growing calls to reduce its reliance on Chinese-controlled energy technologies—ranging from solar panels to critical minerals and battery components—this event asks a fundamental question: Should the U.S. pursue energy decoupling? Join Samir Mayekar, former Deputy Mayor of Chicago and a leader at the intersection of public policy and private infrastructure, as he offers a top-down analysis of the risks, tradeoffs, and unintended consequences of energy decoupling. With global climate goals, domestic industrial policy, and national security all on the line, Mayekar will unpack what a strategic energy future might look like—and whether decoupling is part of it.",40,"FALSE","TRUE - Harris Energy and Environmental Association","FALSE","TRUE (Samir Mayekar: Woman and POC)",910,3,12992,NA,8,1200,3310,NA,NA
