"","org","category","type","expense name","expenditureactual","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventsplanned","attendactual","eventsactual","rollover","externalreceived","totalrollover","date","amount"
"26","Anticaste Policy Students Forum","speaker","refreshments","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization",NA,"Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",4,100,3,-26,0,-26,NA,450
"27","Anticaste Policy Students Forum","speaker","supplies","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization",NA,"Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",4,100,3,-26,0,-26,NA,40
"28","Anticaste Policy Students Forum","speaker","equipment","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization",NA,"Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",4,100,3,-26,0,-26,NA,NA
"29","Anticaste Policy Students Forum","speaker","services","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization",NA,"Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",4,100,3,-26,0,-26,NA,150
"30","Anticaste Policy Students Forum","speaker","miscellaneous","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization",NA,"Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",4,100,3,-26,0,-26,NA,10
"31","Anticaste Policy Students Forum","speaker","refreshments","Understanding Caste-Based Labor Economy: India and the Diaspora",NA,"The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",4,100,3,-26,0,-26,NA,540
"32","Anticaste Policy Students Forum","speaker","supplies","Understanding Caste-Based Labor Economy: India and the Diaspora",NA,"The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",4,100,3,-26,0,-26,NA,40
"33","Anticaste Policy Students Forum","speaker","equipment","Understanding Caste-Based Labor Economy: India and the Diaspora",NA,"The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",4,100,3,-26,0,-26,NA,NA
"34","Anticaste Policy Students Forum","speaker","services","Understanding Caste-Based Labor Economy: India and the Diaspora",NA,"The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",4,100,3,-26,0,-26,NA,150
"35","Anticaste Policy Students Forum","speaker","miscellaneous","Understanding Caste-Based Labor Economy: India and the Diaspora",NA,"The caste system continues to shape labor markets and economic hierarchies, not only in India but also within South Asian diaspora communities worldwide. Join the Anti-Caste Policy Students Forum (ACPF) at the Harris School of Public Policy for an in-depth discussion on how caste operates as an enduring structure of labor exploitation, intersecting with gender, religion, and class. This event will also examine how caste-based labor discrimination manifests in global contexts, including the United States, where increasing awareness has led to policy debates around caste protections in workplaces and institutions. By analyzing both Indian and diasporic perspectives, the discussion aims to unpack caste as a transnational policy issue embedded within broader systems of inequality.",45,"FALSE","FALSE","FALSE","TRUE",4,100,3,-26,0,-26,NA,10
"36","Anticaste Policy Students Forum","speaker","refreshments","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy",NA,"This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",4,100,3,-26,0,-26,NA,450
"37","Anticaste Policy Students Forum","speaker","supplies","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy",NA,"This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",4,100,3,-26,0,-26,NA,40
"38","Anticaste Policy Students Forum","speaker","equipment","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy",NA,"This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",4,100,3,-26,0,-26,NA,150
"39","Anticaste Policy Students Forum","speaker","services","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy",NA,"This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",4,100,3,-26,0,-26,NA,NA
"40","Anticaste Policy Students Forum","speaker","miscellaneous","Race, Caste, Inequities, and Tech: Power, Access, and the Chaotic Terrain of Policy",NA,"This event explores how structural inequities shaped by race and caste continue to influence access, empowerment, and mobility in today’s world. Through the lens of technology and policymaking, we critically examine how marginalized communities navigate and challenge systems of exclusion, while also grappling with technology’s chaotic and dual role. Tech can serve as a powerful tool for empowerment—but it can equally reinforce existing inequities through algorithmic bias, digital divides, and exclusionary design. Together, we will unpack how intersecting identities impact opportunities, how technology both disrupts and perpetuates inequities, and how more inclusive, accountable policymaking can shape a future centered on justice and meaningful social change        

In collaboration  with Asian Policy Forum",45,"FALSE","YES","FALSE","TRUE",4,100,3,-26,0,-26,NA,10
"41","Anticaste Policy Students Forum","film screening","refreshments","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice",NA,"The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",4,100,3,-26,0,-26,NA,450
"42","Anticaste Policy Students Forum","film screening","supplies","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice",NA,"The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",4,100,3,-26,0,-26,NA,40
"43","Anticaste Policy Students Forum","film screening","equipment","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice",NA,"The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",4,100,3,-26,0,-26,NA,NA
"44","Anticaste Policy Students Forum","film screening","services","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice",NA,"The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",4,100,3,-26,0,-26,NA,500
"45","Anticaste Policy Students Forum","film screening","miscellaneous","Screen of Movie Origin (2023) : Caste, Cinema, and Social Justice",NA,"The Anti-Caste Policy Students Forum (ACPF) is proud to co-host this screening of *ORIGIN (2023), a powerful exploration of caste and systemic oppression across global contexts. This event aligns with ACPF’s mission to critically engage with caste in public policy and governance. Through the film and discussion, we aim to highlight the intersections of caste, race, and social justice in policymaking. We invite students and faculty to reflect on historical injustices and contemporary policy responses. Join us in fostering a dialogue on dismantling caste hierarchies through informed policy action.
The event is collaboration with Asian Policy Forum.",45,"FALSE","YES","TRUE","TRUE",4,100,3,-26,0,-26,NA,10
"46","ALAS","workshop","refreshments","Latinx Networking Night",500,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"47","ALAS","workshop","supplies","Latinx Networking Night",500,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"48","ALAS","workshop","equipment","Latinx Networking Night",500,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"49","ALAS","workshop","services","Latinx Networking Night",500,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"50","ALAS","workshop","miscellaneous","Latinx Networking Night",500,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"51","ALAS","workshop","refreshments","New Arrivals, New Challenges",1130,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"52","ALAS","workshop","supplies","New Arrivals, New Challenges",1130,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"53","ALAS","workshop","equipment","New Arrivals, New Challenges",1130,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"54","ALAS","workshop","services","New Arrivals, New Challenges",1130,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"55","ALAS","workshop","miscellaneous","New Arrivals, New Challenges",1130,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"56","ALAS","cultural","refreshments","Dia de Reyes",10,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"57","ALAS","cultural","supplies","Dia de Reyes",10,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"58","ALAS","cultural","equipment","Dia de Reyes",10,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"59","ALAS","cultural","services","Dia de Reyes",10,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"60","ALAS","cultural","miscellaneous","Dia de Reyes",10,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"61","ALAS","social","refreshments","Melting Potluck",30,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"62","ALAS","social","supplies","Melting Potluck",30,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"63","ALAS","social","equipment","Melting Potluck",30,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"64","ALAS","social","services","Melting Potluck",30,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"65","ALAS","social","miscellaneous","Melting Potluck",30,NA,NA,NA,NA,NA,NA,NA,140,4,82,0,82,NA,NA
"66","ALAS","community engagement","refreshments","National Mexican Museum of Art/Pilsen Outing",NA,"Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",3,140,4,82,0,82,NA,500
"67","ALAS","community engagement","supplies","National Mexican Museum of Art/Pilsen Outing",NA,"Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",3,140,4,82,0,82,NA,NA
"68","ALAS","community engagement","equipment","National Mexican Museum of Art/Pilsen Outing",NA,"Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",3,140,4,82,0,82,NA,NA
"69","ALAS","community engagement","services","National Mexican Museum of Art/Pilsen Outing",NA,"Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",3,140,4,82,0,82,NA,NA
"70","ALAS","community engagement","miscellaneous","National Mexican Museum of Art/Pilsen Outing",NA,"Joint with LAM. This outing to Pilsen aims to encourage students to explore beyond campus, starting with a visit to the National Museum of Mexican Art, followed by a stroll along 18th Street, and concluding with a picnic.",25,"TRUE","TRUE","FALSE","FALSE",3,140,4,82,0,82,NA,NA
"71","ALAS","speaker","refreshments","Chicago Food Justice/Policy",NA,"Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",3,140,4,82,0,82,NA,500
"72","ALAS","speaker","supplies","Chicago Food Justice/Policy",NA,"Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",3,140,4,82,0,82,NA,NA
"73","ALAS","speaker","equipment","Chicago Food Justice/Policy",NA,"Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",3,140,4,82,0,82,NA,NA
"74","ALAS","speaker","services","Chicago Food Justice/Policy",NA,"Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",3,140,4,82,0,82,NA,NA
"75","ALAS","speaker","miscellaneous","Chicago Food Justice/Policy",NA,"Celebrate Earth Day with an event focused on Chicago's food policy and justice initiatives. This gathering will highlight sustainable practices, address food insecurity, and explore the intersection of environmental and social justice.",25,"FALSE","FALSE","FALSE","TRUE",3,140,4,82,0,82,NA,NA
"76","ALAS","cultural","refreshments","Latine Graduation Celebration",NA,"Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",3,140,4,82,0,82,NA,500
"77","ALAS","cultural","supplies","Latine Graduation Celebration",NA,"Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",3,140,4,82,0,82,NA,NA
"78","ALAS","cultural","equipment","Latine Graduation Celebration",NA,"Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",3,140,4,82,0,82,NA,NA
"79","ALAS","cultural","services","Latine Graduation Celebration",NA,"Joint with LAM, UCMA, CLAS, OLAS. The inaugural Latine Graduation Celebration will honor the accomplishments of Latine graduates, celebrating their cultural identity and academic success. This event seeks to create a supportive and inclusive environment, marking an important milestone for our diverse community.",100,"FALSE","TRUE","TRUE","FALSE",3,140,4,82,0,82,NA,300
